area,iso_area,building_type,building_name,betweenness,degree_centrality,eigenvector_centrality,closeness_centrality,degree,clustering_coef,id,area_norm,iso_area_norm,degree_norm
19,75,monastery,MN0029,0.006006006006006005,0.05405405405405406,0.05338281764459528,0.23717948717948717,2,0,MN0029_032,0.00022975162639967108,0.000974633537789791,0.031746031746031744
17,64,monastery,MN0029,0.006006006006006004,0.05405405405405406,0.16197734072120915,0.29365079365079366,2,0,MN0029_033,0.00020556724467338993,0.0008316872855806217,0.031746031746031744
17,59,monastery,MN0029,0.033483483483483484,0.10810810810810811,0.23935195685430002,0.29838709677419356,4,0.3333333333333333,MN0029_034,0.00020556724467338993,0.0007667117163946357,0.06349206349206349
17,137,monastery,MN0029,0.05405405405405406,0.05405405405405406,0.07519275240703391,0.2642857142857143,2,0,MN0029_035,0.00020556724467338993,0.0017803305956960182,0.031746031746031744
11,20,monastery,MN0029,0.0,0.05405405405405406,0.14371277953343653,0.27007299270072993,2,1.0,MN0029_036,0.00013301409949454643,0.0002599022767439443,0.031746031746031744
9,19,monastery,MN0029,0.03553553553553553,0.05405405405405406,0.09365007078723614,0.26811594202898553,2,0,MN0029_037,0.00010882971776826526,0.00024690716290674705,0.031746031746031744
2999,936,monastery,MN0017,0.1200328407224959,0.10344827586206896,0.04846397211641473,0.30526315789473685,3,0,MN0017_000,0.03626448039855861,0.012163426551616592,0.047619047619047616
296,480,monastery,MN0017,0.08555008210180624,0.10344827586206896,0.052023294582949596,0.29,3,0,MN0017_001,0.003579288495489613,0.006237654641854663,0.047619047619047616
237,285,monastery,MN0017,0.0,0.06896551724137931,0.2308574787333683,0.3493975903614458,2,1.0,MN0017_002,0.0028658492345643182,0.003703607443601206,0.031746031746031744
129,437,monastery,MN0017,0.03382594417077175,0.10344827586206896,0.09840143344092206,0.29,3,0.3333333333333333,MN0017_003,0.0015598926213451353,0.005678864746855182,0.047619047619047616
119,79,monastery,MN0017,0.5802134646962234,0.3103448275862069,0.541842339797223,0.4461538461538462,9,0.1111111111111111,MN0017_004,0.0014389707127137295,0.0010266139931385798,0.14285714285714285
