building_type,building_name,num_nodes,num_edges,density,ave_cluster_coef,transistivity,cliques,num_nodes_norm,num_edges_norm
mosque,MS1561,89,138,0.035240040858018386,0.2314670825751802,0.08984660336011688,"[['MS1561_004', 'MS1561_001', 'MS1561_006'], ['MS1561_004', 'MS1561_001', 'MS1561_012'], ['MS1561_004', 'MS1561_028', 'MS1561_012'], ['MS1561_032', 'MS1561_001', 'MS1561_016'], ['MS1561_008', 'MS1561_001', 'MS1561_006'], ['MS1561_008', 'MS1561_001', 'MS1561_012'], ['MS1561_011', 'MS1561_012', 'MS1561_021'], ['MS1561_033', 'MS1561_001', 'MS1561_003'], ['MS1561_033', 'MS1561_001', 'MS1561_016'], ['MS1561_030', 'MS1561_001', 'MS1561_015'], ['MS1561_082', 'MS1561_001', 'MS1561_019'], ['MS1561_000', 'MS1561_010', 'MS1561_086'], ['MS1561_000', 'MS1561_010', 'MS1561_012'], ['MS1561_000', 'MS1561_037', 'MS1561_016'], ['MS1561_000', 'MS1561_083', 'MS1561_031'], ['MS1561_000', 'MS1561_048', 'MS1561_003'], ['MS1561_000', 'MS1561_001', 'MS1561_003'], ['MS1561_000', 'MS1561_001', 'MS1561_002'], ['MS1561_000', 'MS1561_001', 'MS1561_019'], ['MS1561_000', 'MS1561_001', 'MS1561_015'], ['MS1561_000', 'MS1561_001', 'MS1561_043'], ['MS1561_000', 'MS1561_001', 'MS1561_016'], ['MS1561_000', 'MS1561_001', 'MS1561_027'], ['MS1561_000', 'MS1561_001', 'MS1561_012'], ['MS1561_000', 'MS1561_086', 'MS1561_043'], ['MS1561_000', 'MS1561_088', 'MS1561_087', 'MS1561_040'], ['MS1561_000', 'MS1561_035', 'MS1561_016'], ['MS1561_000', 'MS1561_034', 'MS1561_015'], ['MS1561_000', 'MS1561_039', 'MS1561_015'], ['MS1561_000', 'MS1561_040', 'MS1561_012'], ['MS1561_000', 'MS1561_022', 'MS1561_043'], ['MS1561_000', 'MS1561_022', 'MS1561_012'], ['MS1561_000', 'MS1561_079', 'MS1561_019'], ['MS1561_021', 'MS1561_022', 'MS1561_012'], ['MS1561_038', 'MS1561_001', 'MS1561_015'], ['MS1561_025', 'MS1561_024', 'MS1561_012'], ['MS1561_036', 'MS1561_001', 'MS1561_015'], ['MS1561_036', 'MS1561_001', 'MS1561_016']]",0.6846153846153846,0.7263157894736842
mosque,MS1543,130,190,0.022659511031604056,0.13613502677982314,0.044962531223980015,"[['MS1543_084', 'MS1543_014', 'MS1543_082'], ['MS1543_022', 'MS1543_001', 'MS1543_011'], ['MS1543_005', 'MS1543_004', 'MS1543_060'], ['MS1543_055', 'MS1543_013', 'MS1543_047'], ['MS1543_002', 'MS1543_008', 'MS1543_001'], ['MS1543_002', 'MS1543_008', 'MS1543_017'], ['MS1543_006', 'MS1543_016', 'MS1543_094'], ['MS1543_006', 'MS1543_016', 'MS1543_119'], ['MS1543_020', 'MS1543_038', 'MS1543_033'], ['MS1543_024', 'MS1543_003', 'MS1543_027'], ['MS1543_000', 'MS1543_028', 'MS1543_029'], ['MS1543_000', 'MS1543_029', 'MS1543_034'], ['MS1543_000', 'MS1543_054', 'MS1543_046'], ['MS1543_000', 'MS1543_017', 'MS1543_007'], ['MS1543_000', 'MS1543_014', 'MS1543_092'], ['MS1543_000', 'MS1543_014', 'MS1543_121'], ['MS1543_000', 'MS1543_014', 'MS1543_088'], ['MS1543_000', 'MS1543_014', 'MS1543_090']]",1.0,1.0
mosque,MS1303,34,41,0.07308377896613191,0.13291316526610644,0.09090909090909091,"[['MS1303_011', 'MS1303_002', 'MS1303_030'], ['MS1303_011', 'MS1303_002', 'MS1303_029'], ['MS1303_026', 'MS1303_027', 'MS1303_012'], ['MS1303_001', 'MS1303_027', 'MS1303_017'], ['MS1303_001', 'MS1303_027', 'MS1303_012']]",0.26153846153846155,0.21578947368421053
mosque,MS1576,9,11,0.3055555555555556,0.0,0,[],0.06923076923076923,0.05789473684210526
mosque,MS1614,46,50,0.04830917874396135,0.12412949369471109,0.032,"[['MS1614_028', 'MS1614_003', 'MS1614_022'], ['MS1614_001', 'MS1614_002', 'MS1614_009'], ['MS1614_001', 'MS1614_004', 'MS1614_045'], ['MS1614_001', 'MS1614_004', 'MS1614_044']]",0.35384615384615387,0.2631578947368421
mosque,MS1445,4,4,0.6666666666666666,0.5833333333333333,0.6,"[['MS1445_001', 'MS1445_002', 'MS1445_003']]",0.03076923076923077,0.021052631578947368
mosque,MS1573,36,47,0.0746031746031746,0.15743334370785353,0.10344827586206896,"[['MS1573_014', 'MS1573_001', 'MS1573_004'], ['MS1573_007', 'MS1573_006', 'MS1573_001'], ['MS1573_007', 'MS1573_006', 'MS1573_025'], ['MS1573_007', 'MS1573_006', 'MS1573_029'], ['MS1573_007', 'MS1573_006', 'MS1573_009'], ['MS1573_007', 'MS1573_016', 'MS1573_001'], ['MS1573_035', 'MS1573_016', 'MS1573_002'], ['MS1573_002', 'MS1573_001', 'MS1573_016'], ['MS1573_002', 'MS1573_001', 'MS1573_004']]",0.27692307692307694,0.24736842105263157
mosque,MS1621,4,3,0.5,0.0,0,[],0.03076923076923077,0.015789473684210527
mosque,MS1317,74,83,0.030729359496482783,0.035242385242385245,0.05042016806722689,"[['MS1317_010', 'MS1317_003', 'MS1317_013'], ['MS1317_007', 'MS1317_037', 'MS1317_067'], ['MS1317_007', 'MS1317_037', 'MS1317_060'], ['MS1317_005', 'MS1317_066', 'MS1317_001']]",0.5692307692307692,0.4368421052631579
mosque,MS1563,99,114,0.02350030921459493,0.10510241722362934,0.018456375838926176,"[['MS1563_040', 'MS1563_046', 'MS1563_009'], ['MS1563_016', 'MS1563_004', 'MS1563_010'], ['MS1563_009', 'MS1563_049', 'MS1563_036'], ['MS1563_045', 'MS1563_042', 'MS1563_010'], ['MS1563_006', 'MS1563_001', 'MS1563_003'], ['MS1563_000', 'MS1563_017', 'MS1563_008'], ['MS1563_000', 'MS1563_001', 'MS1563_003'], ['MS1563_000', 'MS1563_001', 'MS1563_008'], ['MS1563_000', 'MS1563_001', 'MS1563_012'], ['MS1563_000', 'MS1563_001', 'MS1563_013'], ['MS1563_000', 'MS1563_001', 'MS1563_005']]",0.7615384615384615,0.6
mosque,MS1279,14,15,0.16483516483516483,0.10238095238095238,0.10344827586206896,"[['MS1279_001', 'MS1279_013', 'MS1279_003']]",0.1076923076923077,0.07894736842105263
mosque,MS1609,22,36,0.15584415584415584,0.6910885167464115,0.13803680981595093,"[['MS1609_000', 'MS1609_002', 'MS1609_008'], ['MS1609_000', 'MS1609_002', 'MS1609_009'], ['MS1609_000', 'MS1609_002', 'MS1609_019'], ['MS1609_000', 'MS1609_002', 'MS1609_010'], ['MS1609_000', 'MS1609_002', 'MS1609_011'], ['MS1609_000', 'MS1609_002', 'MS1609_013'], ['MS1609_000', 'MS1609_002', 'MS1609_017'], ['MS1609_000', 'MS1609_002', 'MS1609_006'], ['MS1609_000', 'MS1609_002', 'MS1609_012'], ['MS1609_000', 'MS1609_002', 'MS1609_015'], ['MS1609_000', 'MS1609_002', 'MS1609_016'], ['MS1609_000', 'MS1609_002', 'MS1609_018'], ['MS1609_000', 'MS1609_002', 'MS1609_005'], ['MS1609_000', 'MS1609_002', 'MS1609_014'], ['MS1609_000', 'MS1609_002', 'MS1609_020']]",0.16923076923076924,0.18947368421052632
mosque,MS1443,11,11,0.2,0.196969696969697,0.14285714285714285,"[['MS1443_010', 'MS1443_005', 'MS1443_006']]",0.08461538461538462,0.05789473684210526
mosque,MS1610,14,13,0.14285714285714285,0.0,0,[],0.1076923076923077,0.06842105263157895
mosque,MS1285,19,25,0.14619883040935672,0.02882205513784461,0.05454545454545454,"[['MS1285_000', 'MS1285_003', 'MS1285_001']]",0.14615384615384616,0.13157894736842105
